room_id	host_id	room_type	country	city	neighborhood	reviews	overall_satisfaction	accommodates	bedrooms	price	property_type
14274940	87014439	Shared room	France	Paris	Belleville	8	4.5	3	1.0	61.0	Apartment
17771339	121319052	Shared room	France	Paris	Salpêtrière	2	0.0	2	1.0	55.0	Apartment
6909565	13925412	Shared room	France	Paris	Chaillot	55	5.0	2	1.0	48.0	Bed & Breakfast
19795939	47635888	Shared room	France	Paris	Europe	0	0.0	2	1.0	58.0	Apartment
19260040	92376766	Shared room	France	Paris	Auteuil	2	0.0	2	1.0	57.0	Apartment
17519198	71097736	Shared room	France	Paris	Chaillot	5	4.0	2	1.0	48.0	Apartment
14231289	59917757	Shared room	France	Paris	Gare	1	0.0	1	1.0	58.0	Condominium
19386853	25854609	Shared room	France	Paris	Saint-Ambroise	0	0.0	2	1.0	48.0	Apartment
13246663	74465591	Shared room	France	Paris	Necker	7	5.0	2	1.0	61.0	Apartment
3939233	20409316	Shared room	France	Paris	Charonne	25	4.5	2	1.0	61.0	Apartment
19909881	57680608	Shared room	France	Paris	Saint-Victor	0	0.0	2	1.0	53.0	Condominium
8978247	5770229	Shared room	France	Paris	Muette	40	4.5	1	1.0	48.0	Apartment
16033790	86399040	Shared room	France	Paris	Roquette	38	5.0	2	1.0	42.0	Apartment
19762561	36408004	Shared room	France	Paris	Necker	2	0.0	2	1.0	48.0	Apartment
13758653	46032712	Shared room	France	Paris	Necker	20	4.5	1	1.0	60.0	Apartment
10141384	42970339	Shared room	France	Paris	Champs-Elysées	40	4.5	1	1.0	54.0	Apartment
17497500	63481573	Shared room	France	Paris	Necker	6	3.0	3	1.0	47.0	Apartment
18743064	94933975	Shared room	France	Paris	Saint-Georges	5	5.0	1	1.0	61.0	Apartment
7994196	23710923	Shared room	France	Paris	Saint-Lambert	45	4.5	1	1.0	48.0	Apartment
566511	2782865	Shared room	France	Paris	Saint-Gervais	312	5.0	1	1.0	47.0	Apartment
4144214	20152807	Shared room	France	Paris	Jardin-des-Plantes	125	5.0	2	1.0	50.0	Apartment
19118607	16803280	Shared room	France	Paris	Arts-et-Metiers	2	0.0	2	1.0	55.0	Apartment
19361594	50526775	Shared room	France	Paris	Quinze-Vingts	4	5.0	2	1.0	60.0	Apartment
15157047	90309866	Shared room	France	Paris	Saint-Avoye	40	4.5	2	1.0	55.0	Apartment
1154909	6329419	Shared room	France	Paris	Chaussée-dAntin	69	5.0	1	1.0	61.0	Apartment
14713811	16364293	Shared room	France	Paris	Saint-Georges	35	4.5	2	1.0	42.0	Apartment
8657068	45492967	Shared room	France	Paris	Maison-Blanche	107	4.5	1	1.0	50.0	Apartment
6524050	31234686	Shared room	France	Paris	Gros-Caillou	13	5.0	2	1.0	61.0	Apartment
6512202	1122470	Shared room	France	Paris	Petit-Montrouge	169	4.5	1	1.0	53.0	Apartment
6983381	12094138	Shared room	France	Paris	Bonne-Nouvelle	15	5.0	2	1.0	48.0	Apartment
5159335	7621443	Shared room	France	Paris	Archives	71	4.5	2	1.0	61.0	Apartment
20128734	128392075	Shared room	France	Paris	Goutte-dOr	0	0.0	6	1.0	46.0	Apartment
7530578	34135056	Shared room	France	Paris	Bonne-Nouvelle	100	4.5	1	1.0	42.0	Apartment
18628217	129309354	Shared room	France	Paris	Saint-Avoye	14	5.0	1	1.0	48.0	Loft
18531047	26867342	Shared room	France	Paris	Plaisance	5	5.0	1	1.0	20.0	Apartment
5914055	19588756	Shared room	France	Paris	Plaisance	6	5.0	2	1.0	29.0	Apartment
7131478	37352383	Shared room	France	Paris	Saint-Lambert	8	5.0	1	1.0	34.0	Apartment
3058977	13891199	Shared room	France	Paris	Necker	39	4.5	2	1.0	36.0	Apartment
19067216	101987767	Shared room	France	Paris	Javel 15Art	5	5.0	1	1.0	22.0	Apartment
15418965	8354365	Shared room	France	Paris	Saint-Lambert	5	5.0	2	1.0	30.0	Apartment
13127206	69219124	Shared room	France	Paris	Val-de-Grace	0	0.0	1	1.0	30.0	Apartment
8656542	36965557	Shared room	France	Paris	Plaisance	14	5.0	1	1.0	28.0	Apartment
7357963	19302808	Shared room	France	Paris	Necker	0	0.0	1	1.0	36.0	Apartment
2934680	13981103	Shared room	France	Paris	Plaisance	12	5.0	1	1.0	36.0	Apartment
4473010	23207741	Shared room	France	Paris	Plaisance	18	5.0	1	1.0	36.0	Apartment
12927357	70947332	Shared room	France	Paris	Saint-Lambert	2	0.0	2	1.0	39.0	Apartment
17322881	63922810	Shared room	France	Paris	Grenelle	2	0.0	2	1.0	28.0	Apartment
4907084	25118143	Shared room	France	Paris	Saint-Lambert	25	5.0	2	1.0	35.0	Apartment
16278048	2667370	Entire home/apt	France	Paris	Faubourg-Montmartre	0	0.0	10	4.0	998.0	Apartment
19068590	52759569	Entire home/apt	France	Paris	Faubourg-du-Roule	0	0.0	16	3.0	968.0	Apartment
14813052	22919642	Entire home/apt	France	Paris	Odeon	3	4.5	7	3.0	835.0	Apartment
10380940	39352838	Entire home/apt	France	Paris	Saint-Gervais	5	5.0	16	5.0	1019.0	Apartment
10480504	22919642	Entire home/apt	France	Paris	Odeon	4	5.0	12	5.0	1029.0	Apartment
6666099	12982469	Entire home/apt	France	Paris	Faubourg-du-Roule	8	5.0	10	5.0	871.0	Apartment
3333333	2151873	Entire home/apt	France	Paris	Muette	4	5.0	8	4.0	956.0	Apartment
11266443	4777697	Entire home/apt	France	Paris	Roquette	1	0.0	16	2.0	968.0	Apartment
18014073	97888639	Entire home/apt	France	Paris	Porte-Dauphine	3	5.0	6	3.0	907.0	Apartment
4028703	20886904	Entire home/apt	France	Paris	Faubourg-du-Roule	23	5.0	8	3.0	907.0	Apartment
15694957	7382432	Entire home/apt	France	Paris	Chaillot	23	5.0	4	2.0	817.0	Apartment
13219192	7239393	Entire home/apt	France	Paris	Champs-Elysées	1	0.0	4	2.0	569.0	Apartment
3880793	20061685	Entire home/apt	France	Paris	Rochechouart	0	0.0	6	3.0	605.0	Loft
2057696	10536310	Entire home/apt	France	Paris	Europe	0	0.0	6	4.0	665.0	Apartment
12239905	65765441	Entire home/apt	France	Paris	Montparnasse	2	0.0	6	3.0	587.0	Townhouse
6138368	31844210	Entire home/apt	France	Paris	Plaine-Monceau	2	0.0	6	4.0	605.0	Apartment
18105856	53323515	Entire home/apt	France	Paris	Gros-Caillou	0	0.0	8	3.0	606.0	Apartment
11960966	63881266	Entire home/apt	France	Paris	Faubourg-du-Roule	3	5.0	6	3.0	593.0	Apartment
20045936	1473698	Entire home/apt	France	Paris	Madeleine	0	0.0	8	5.0	665.0	Apartment
17524957	9182963	Entire home/apt	France	Paris	Auteuil	1	0.0	7	3.0	423.0	Apartment
809915	2979596	Entire home/apt	France	Paris	Muette	0	0.0	6	3.0	477.0	Apartment
4615132	14406806	Entire home/apt	France	Paris	Ternes	13	4.5	6	3.0	333.0	Apartment
16052088	104143039	Entire home/apt	France	Paris	Porte-Dauphine	0	0.0	6	3.0	327.0	Villa
14717583	6593203	Entire home/apt	France	Paris	Champs-Elysées	0	0.0	4	2.0	483.0	Apartment
13137130	14678347	Entire home/apt	France	Paris	Porte-Dauphine	0	0.0	7	3.0	483.0	Apartment
6368645	30301769	Entire home/apt	France	Paris	Hôpital-Saint-Louis	0	0.0	6	4.0	363.0	Apartment
12967271	71324204	Entire home/apt	France	Paris	Grenelle	0	0.0	6	3.0	422.0	Apartment
13363089	5044753	Entire home/apt	France	Paris	Porte-Dauphine	2	0.0	9	4.0	351.0	Apartment
1368034	6147609	Entire home/apt	France	Paris	Grenelle	2	0.0	4	2.0	339.0	Apartment
4696099	24278590	Entire home/apt	France	Paris	Faubourg-du-Roule	2	0.0	5	3.0	436.0	Apartment
18492779	128317383	Entire home/apt	France	Paris	Odeon	0	0.0	10	4.0	484.0	Apartment
1982003	6843571	Entire home/apt	France	Paris	Necker	8	4.0	6	3.0	423.0	Apartment
17953518	645546	Entire home/apt	France	Paris	Saint-Germain-des-Prés	0	0.0	4	3.0	423.0	Apartment
3838884	4050855	Entire home/apt	France	Paris	Faubourg-du-Roule	10	4.5	10	4.0	484.0	Apartment
13471793	34445617	Entire home/apt	France	Paris	Epinettes	0	0.0	4	1.0	363.0	Apartment
11136200	57871654	Entire home/apt	France	Paris	Plaine-Monceau	2	0.0	4	2.0	472.0	Apartment
2093251	10680430	Entire home/apt	France	Paris	Sainte-Marguerite	3	5.0	6	3.0	328.0	House
3998234	1509642	Entire home/apt	France	Paris	Javel 15Art	5	4.0	4	1.0	242.0	Apartment
7727250	15814585	Entire home/apt	France	Paris	Necker	2	0.0	6	2.0	303.0	Apartment
1366225	1186551	Entire home/apt	France	Paris	Parc-de-Montsouris	3	5.0	7	3.0	242.0	Apartment
6241100	32397536	Entire home/apt	France	Paris	Necker	0	0.0	4	2.0	241.0	House
6194748	31338343	Entire home/apt	France	Paris	Petit-Montrouge	0	0.0	4	2.0	212.0	Apartment
664514	3357202	Entire home/apt	France	Paris	Grenelle	0	0.0	2	2.0	242.0	Apartment
15669229	31983199	Entire home/apt	France	Paris	Gros-Caillou	0	0.0	4	2.0	216.0	Apartment
13043171	46407465	Entire home/apt	France	Paris	Ecole-Militaire	0	0.0	5	2.0	302.0	Apartment
12169903	152242	Entire home/apt	France	Paris	Val-de-Grace	0	0.0	6	3.0	254.0	Apartment
14670634	79206033	Entire home/apt	France	Paris	Charonne	3	4.5	7	2.0	303.0	Apartment
3601816	10048305	Entire home/apt	France	Paris	Charonne	0	0.0	5	2.0	230.0	Apartment
3322709	834775	Entire home/apt	France	Paris	Roquette	1	0.0	5	2.0	242.0	Apartment
4452537	22614632	Entire home/apt	France	Paris	Auteuil	0	0.0	8	3.0	217.0	Apartment
1046947	5764249	Entire home/apt	France	Paris	Necker	0	0.0	5	2.0	230.0	Apartment
11172196	5920189	Entire home/apt	France	Paris	Ternes	8	5.0	7	4.0	242.0	Apartment
3203695	1586709	Entire home/apt	France	Paris	Batignolles	10	4.5	6	3.0	206.0	Apartment
20137021	111281981	Entire home/apt	France	Paris	Madeleine	0	0.0	4	3.0	217.0	Apartment
3072377	9084047	Entire home/apt	France	Paris	Quinze-Vingts	0	0.0	5	4.0	217.0	Apartment
2779827	14217187	Entire home/apt	France	Paris	Roquette	0	0.0	5	3.0	217.0	Apartment
7641553	40097415	Entire home/apt	France	Paris	Père-Lachaise	18	4.5	3	1.0	254.0	Apartment
20128977	44939528	Entire home/apt	France	Paris	Roquette	0	0.0	2	1.0	217.0	Apartment
1136038	5209762	Entire home/apt	France	Paris	Rochechouart	12	4.5	6	3.0	303.0	Apartment
20129607	53802101	Entire home/apt	France	Paris	Clignancourt	0	0.0	4	1.0	230.0	Apartment
